,lgb_gain,lgb_split,xgb_weight,xgb_gain,xgb_cover,perm_lgb,perm_xgb,shap_lgb,shap_xgb,composite_score,final_rank
near_price_times_bid_price,292.82203578948975,7.8,10.0,22.810652351379396,3998.777490234375,0.001160327957651397,0.0010768485817113315,0.0007456637989904602,0.002418522,0.005449715909168199,96.0
near_price_ask_price_wap_imb2,154.00773029327394,5.6,15.6,19.82044620513916,1957.4140380859376,0.0001697703441956122,-0.0007628508061961979,0.031758307723946666,0.030650802,0.005447343826588955,97.0
near_price_minus_ask_price,159.5827169418335,6.8,13.8,17.13205032348633,4155.0826171875,8.364329692028605e-05,0.001116535047278866,0.027762191895181844,0.0055028433,0.00542343591145642,98.0
CMV_7_ask_size,151.26495838165283,6.2,6.4,9.57192611694336,5285.523046875,0.00010349945526126447,0.0004210804530979928,0.021402277600332077,0.03613656,0.005387795597037757,99.0
far_price_near_price_bid_price_imb2,260.32787628173827,11.6,21.0,14.52435359954834,3043.0071655273437,-0.0004314754999349901,0.0010262511754000414,0.014957370502944238,0.024396714,0.005336734388637776,100.0
far_price_minus_near_price,107.12858352661132,5.8,12.4,14.229909324645996,4324.6802734375,6.979055895673269e-05,-0.00072642299530294,0.0002767081999852614,0.02813973,0.004924441417502515,101.0
ask_price_bid_price_imb,61.48369541168213,3.8,11.0,17.37906093597412,3915.9117431640625,0.0002923217319412075,0.0006483078401096165,0.023575678095437896,0.0043675485,0.004912975197581068,102.0
reference_price_far_price_near_price_imb2,152.15151414871215,9.2,24.4,11.822109031677247,718.5637573242187,0.0011170555001613638,0.000866769360852615,0.043121530459413776,0.03704277,0.004878053724870575,103.0
far_price,196.50630979537965,7.0,19.6,13.401224136352539,2684.726223754883,9.120937503304563e-05,-0.00038922437346656125,0.024076937338647103,0.015486175,0.004713839446623625,104.0
far_price_near_price_imb,43.66593971252441,2.0,1.4,9.031793403625489,7891.4,-0.00016257629069503567,-0.00015884224590077876,0.0,0.00054693257,0.004636387218830174,105.0
CMV_5_best_ask_size,18.218651390075685,0.8,1.6,14.639432144165038,4670.13330078125,-3.891113464945307e-05,-0.00011676365219752683,0.026029256048429244,0.0072721206,0.004590048430755942,106.0
near_price_wap_imb,39.86534080505371,1.4,1.0,17.305574035644533,5266.3,-0.00012160247443144811,-5.620447306647237e-05,0.0,0.0,0.0044299466388055845,107.0
near_price_minus_bid_price,90.46005001068116,4.0,10.4,15.519710922241211,3954.5505249023436,-0.00038518767034918973,0.00038938498350379544,0.0003225999218659213,0.0067220666,0.004269195492063483,108.0
far_price_times_bid_price,152.8590585708618,4.8,7.4,19.14934730529785,2735.65107421875,-0.0025558617930059317,6.901545547592032e-05,0.0,0.01152415,0.004250826830440448,109.0
far_price_minus_wap,74.39886817932128,3.4,9.2,15.916607093811034,3770.822412109375,5.7345413230791566e-05,0.0004577876127635961,0.0020317519018545433,0.008340393,0.004249823401195286,110.0
CMV_7,106.16859931945801,4.2,10.2,8.37131462097168,1999.3533203125,-1.4468082764445004e-05,0.0003047528493759799,0.026948331852154846,0.044032797,0.004149692605069775,111.0
near_price_bid_price_imb,22.385960006713866,1.2,0.6,12.21088523864746,6017.4,-0.00021369377164628386,-5.229445071883276e-05,0.0,0.0,0.00412608169329516,112.0
near_price,143.60916442871093,5.2,16.2,16.55643939971924,1684.737646484375,0.001407619384331085,0.0011219767293041373,0.008958118217994365,0.011866938,0.0040738845830431926,113.0
far_price_minus_bid_price,89.00964031219482,4.0,4.8,13.896600341796875,3298.953379821777,9.749628956910783e-05,0.00035101843736466513,0.0007585298990702732,0.019841546,0.004001525408663279,114.0
Liquidity_1,139.08241319656372,7.4,15.4,14.104226684570312,2832.348388671875,-0.0002667689384194105,0.0014307191715328571,0.002235448063893465,0.003159549,0.003963528290137925,115.0
reference_price_times_near_price,188.62981948852538,5.8,11.0,16.63187141418457,2045.932666015625,0.0009773996929945028,0.0008170745214671982,0.010765889386092214,0.0019458178,0.003962658761073149,116.0
CMV_9_bid_size,69.87065963745117,2.6,2.2,3.820140838623047,2172.87265625,-0.0003205033459858697,0.00012099011275310546,0.022334416163396948,0.06977905,0.003890821895172687,117.0
best_bid_and_ask_size,38.58043432235718,2.6,4.0,14.519405746459961,1993.210009765625,-7.830762635272493e-05,-0.0001639490252182441,0.03877575317213528,0.0,0.0037375952876153406,118.0
reference_price_bid_price_imb,60.625969123840335,3.0,5.2,16.147745895385743,2504.0895263671873,-9.292145172533853e-05,-0.0002867615561180514,0.015884094194400816,0.00021421006,0.003706425584862249,119.0
far_price_bid_price_imb,14.027960014343261,0.8,0.6,8.764851570129395,5459.7,6.754964441789468e-05,-9.74212004981112e-05,0.006721535231147963,0.0,0.0036311317345236846,120.0
imbalance_buy_sell_flag,143.34542961120604,5.6,9.6,12.14762601852417,1149.3754013061523,0.00045925373567143877,-0.000614962053543806,0.032021681226589126,0.0060183597,0.00351163557466057,121.0
near_price_minus_wap,129.93406257629394,5.0,9.2,13.701671028137207,613.3103240966797,0.0008995210496530248,-0.00017466675999116887,0.03937822985240293,0.0,0.003450083473106611,122.0
far_price_times_near_price,96.07291221618652,3.2,5.6,15.3669002532959,2402.0533203125,-0.0008711913590822107,-0.0003960103749772514,0.0,0.007988405,0.003449666124437185,123.0
CMV_3_best_ask_size,159.20980634689332,5.6,2.8,13.569769096374511,2413.356689453125,0.00028096194711071834,-0.000663261122182277,0.00771787204037064,0.002578573,0.0034202130648526446,124.0
far_price_minus_ask_price,41.975755882263186,2.6,9.0,14.4697660446167,2252.961944580078,-7.037362415708515e-05,0.00047535444581839673,0.00199187874375347,0.0070980983,0.003347326190391009,125.0
far_price_times_wap,116.40011901855469,4.2,6.8,15.513885498046875,2153.1392578125,-3.700920887567353e-05,-0.00047315242066577664,0.0,0.0,0.0032894549743866866,126.0
CMV_9_best_ask_size,0.0,0.0,0.2,5.577568817138672,4111.8,0.0,8.99554882728637e-06,0.0164446433238071,0.012635095,0.003164267794481354,127.0
reference_price_times_far_price,74.94294052124023,3.4,10.8,14.552177810668946,1613.2938720703125,0.0005492071595733349,-0.0002736412968758728,0.0005294469172720494,0.006323178,0.0031574673205458023,128.0
far_price_times_ask_price,79.50615978240967,3.4,9.0,15.657437896728515,1142.1344421386718,-0.00013621503942200515,3.840468327613424e-05,0.006385795224498263,0.0059000906,0.0031549257379665835,129.0
